🚀 Leads Backend running on port 3002
📊 Database: localhost:5432/leads_db
2025-12-02T23:51:34.992Z - POST /api/analytics/track
2025-12-02T23:51:34.994Z - GET /api/settings
2025-12-02T23:51:34.995Z - POST /api/analytics/track
2025-12-02T23:51:35.005Z - GET /api/settings
2025-12-02T23:51:45.319Z - POST /api/auth/login
2025-12-02T23:52:59.434Z - POST /api/auth/login
2025-12-02T23:52:59.666Z - GET /api/settings
2025-12-02T23:52:59.668Z - POST /api/analytics/track
2025-12-02T23:52:59.673Z - POST /api/analytics/track
2025-12-02T23:52:59.702Z - GET /api/settings
2025-12-02T23:53:04.441Z - POST /api/analytics/track
2025-12-02T23:53:04.441Z - GET /api/settings
2025-12-02T23:53:04.442Z - POST /api/analytics/track
2025-12-02T23:53:04.446Z - GET /api/settings
2025-12-02T23:53:05.107Z - GET /api/settings
2025-12-02T23:53:05.108Z - POST /api/analytics/track
2025-12-02T23:53:05.109Z - POST /api/analytics/track
2025-12-02T23:53:05.113Z - GET /api/settings
2025-12-02T23:53:10.532Z - GET /api/settings
2025-12-02T23:53:10.533Z - POST /api/analytics/track
2025-12-02T23:53:10.541Z - POST /api/analytics/track
2025-12-02T23:53:10.543Z - GET /api/settings
2025-12-02T23:53:17.221Z - POST /api/auth/login
2025-12-02T23:53:26.598Z - POST /api/auth/login
2025-12-02T23:53:26.804Z - POST /api/analytics/track
2025-12-02T23:53:26.804Z - GET /api/settings
2025-12-02T23:53:26.805Z - POST /api/analytics/track
2025-12-02T23:53:26.814Z - GET /api/settings
2025-12-02T23:54:30.556Z - POST /api/analytics/track
2025-12-02T23:54:30.561Z - GET /api/settings
2025-12-02T23:54:30.563Z - POST /api/analytics/track
2025-12-02T23:54:30.582Z - GET /api/settings
2025-12-02T23:54:31.325Z - POST /api/analytics/track
2025-12-02T23:54:31.327Z - POST /api/analytics/track
2025-12-02T23:54:31.328Z - GET /api/settings
2025-12-02T23:54:31.334Z - GET /api/settings
2025-12-02T23:54:39.716Z - POST /api/auth/login
2025-12-02T23:54:45.032Z - POST /api/auth/login
2025-12-02T23:54:45.214Z - GET /api/leads
2025-12-02T23:54:45.219Z - GET /api/leads
2025-12-02T23:54:50.352Z - GET /api/analytics/stats
2025-12-02T23:54:50.354Z - GET /api/analytics/funnel
2025-12-02T23:54:50.365Z - GET /api/analytics/stats
2025-12-02T23:54:50.366Z - GET /api/analytics/funnel
2025-12-02T23:54:53.311Z - GET /api/settings
2025-12-02T23:54:53.317Z - GET /api/settings
